bb_period,bb_std,net_profit_pct
5,0.5,1689.641689
5,1.0,5092.095092
5,1.5,6478.386478
5,2.0,0
5,2.5,0
7,0.5,1576.871576
7,1.0,3989.933989
7,1.5,4815.414815
7,2.0,533.24533
7,2.5,0
9,0.5,1559.411559
9,1.0,3355.643355
9,1.5,3316.673316
9,2.0,957.34957
9,2.5,80.838
11,0.5,1297.401297
11,1.0,3094.193094
11,1.5,2633.922633
11,2.0,991.55991
11,2.5,180.1118
13,0.5,955.30955
13,1.0,1916.971916
13,1.5,1710.93171
13,2.0,1008.971008
13,2.5,228.47228
15,0.5,820.5182
15,1.0,1609.971609
15,1.5,1780.94178
15,2.0,871.76871
15,2.5,261.68261
17,0.5,502.56502
17,1.0,1306.031306
17,1.5,1684.061684
17,2.0,812.28812
17,2.5,260.3626
19,0.5,532.78532
19,1.0,1249.911249
19,1.5,1574.341574
19,2.0,812.17812
19,2.5,288.10288
21,0.5,501.06501
21,1.0,1128.701128
21,1.5,1355.251355
21,2.0,677.94677
21,2.5,271.72271
