bb_period,bb_std,take_profit,stop_loss,net_profit_pct
5,1.5,20,0.5,8642.528642
5,1.5,20,1.0,7707.557707
5,1.5,20,1.5,6477.616477
5,1.5,20,2.0,5044.085044
5,1.5,20,2.5,4210.59421
5,1.5,20,3.0,3544.563544
5,1.5,20,4.0,2520.20252
5,1.5,40,0.5,8642.528642
5,1.5,40,1.0,7707.557707
5,1.5,40,1.5,6477.616477
5,1.5,40,2.0,5044.085044
5,1.5,40,2.5,4210.59421
5,1.5,40,3.0,3544.563544
5,1.5,40,4.0,2520.20252
5,1.5,60,0.5,8641.508641
5,1.5,60,1.0,7707.557707
5,1.5,60,1.5,6477.616477
5,1.5,60,2.0,5044.085044
5,1.5,60,2.5,4211.094211
5,1.5,60,3.0,3544.983544
5,1.5,60,4.0,2520.20252
5,1.5,80,0.5,8642.528642
5,1.5,80,1.0,7707.557707
5,1.5,80,1.5,6476.846476
5,1.5,80,2.0,5044.675044
5,1.5,80,2.5,4213.094213
5,1.5,80,3.0,3546.673546
5,1.5,80,4.0,2521.712521
5,1.5,100,0.5,8637.418637
5,1.5,100,1.0,7702.097702
5,1.5,100,1.5,6473.776473
5,1.5,100,2.0,5047.065047
5,1.5,100,2.5,4213.584213
5,1.5,100,3.0,3547.093547
5,1.5,100,4.0,2522.022522
5,1.5,120,0.5,8638.448638
5,1.5,120,1.0,7703.917703
5,1.5,120,1.5,6474.546474
5,1.5,120,2.0,5046.465046
5,1.5,120,2.5,4212.594212
5,1.5,120,3.0,3546.253546
5,1.5,120,4.0,2521.412521
5,1.5,140,0.5,8638.448638
5,1.5,140,1.0,7703.917703
5,1.5,140,1.5,6474.546474
5,1.5,140,2.0,5046.465046
5,1.5,140,2.5,4212.094212
5,1.5,140,3.0,3545.833545
5,1.5,140,4.0,2521.112521
